Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL
Van Heusen,Van Heusen Black Cotton Slim Fit Shirt,₹1356.00,₹2299.00,0,0,https://www.tatacliq.com/van-heusen-black-cotton-slim-fit-shirt/p-mp000000016951647
JadeBlue,JadeBlue Black Cotton Slim Fit Printed Shirt,₹1329.00,₹1899.00,0,0,https://www.tatacliq.com/jadeblue-black-cotton-slim-fit-printed-shirt/p-mp000000017408458
Louis Philippe Jeans,Louis Philippe Jeans Blue Cotton Slim Fit Striped Shirt,₹2491.00,₹2799.00,0,0,https://www.tatacliq.com/louis-philippe-jeans-blue-cotton-slim-fit-striped-shirt/p-mp000000015892945
YU by Pantaloons,YU by Pantaloons Burnt Orange Cotton Slim Fit Checks Shirt,₹720.00,₹1499.00,0,0,https://www.tatacliq.com/yu-by-pantaloons-burnt-orange-cotton-slim-fit-checks-shirt/p-mp000000017226211
YU by Pantaloons,YU by Pantaloons Dark Blue Cotton Slim Fit Checks Shirt,₹744.00,₹1549.00,0,0,https://www.tatacliq.com/yu-by-pantaloons-dark-blue-cotton-slim-fit-checks-shirt/p-mp000000017226214
JadeBlue,JadeBlue Deep Blue Cotton Slim Fit Shirt,₹1749.00,₹1749.00,0,0,https://www.tatacliq.com/jadeblue-deep-blue-cotton-slim-fit-shirt/p-mp000000017408535
Byford by Pantaloons,Byford by Pantaloons Green Cotton Slim Fit Checks Shirt,₹767.00,₹1299.00,0,0,https://www.tatacliq.com/byford-by-pantaloons-green-cotton-slim-fit-checks-shirt/p-mp000000017230760
Byford by Pantaloons,Byford by Pantaloons Ink Blue Cotton Slim Fit Printed Shirt,₹590.00,₹999.00,0,0,https://www.tatacliq.com/byford-by-pantaloons-ink-blue-cotton-slim-fit-printed-shirt/p-mp000000017226896
Basics,Basics Maroon Slim Fit Striped Shirt,₹2399.00,₹2399.00,0,0,https://www.tatacliq.com/basics-maroon-slim-fit-striped-shirt/p-mp000000015959060
Lee,Lee Navy Slim Fit Check Shirt,₹1199.00,₹2399.00,1.0,1,https://www.tatacliq.com/lee-navy-slim-fit-check-shirt/p-mp000000017625465
Dillinger,Dillinger Olive Cotton Regular Fit Shirt,₹759.00,₹1999.00,3.75,4,https://www.tatacliq.com/dillinger-olive-cotton-regular-fit-shirt/p-mp000000014713896
Pepe Jeans,Pepe Jeans Wine Regular Fit Shirt,₹1299.00,₹3199.00,4.0,1,https://www.tatacliq.com/pepe-jeans-wine-regular-fit-shirt/p-mp000000014440942
Cantabil,Cantabil Yellow Regular Fit Shirt,₹919.00,₹2299.00,0,0,https://www.tatacliq.com/cantabil-yellow-regular-fit-shirt/p-mp000000016911507
United Colors of Benetton,United Colors of Benetton Beige Slim Fit Self Pattern Shirt,₹1749.00,₹3499.00,0,0,https://www.tatacliq.com/united-colors-of-benetton-beige-slim-fit-self-pattern-shirt/p-mp000000016235410
Basics,Basics Blue Slim Fit Checks Shirt,₹2299.00,₹2299.00,0,0,https://www.tatacliq.com/basics-blue-slim-fit-checks-shirt/p-mp000000015958855
ColorPlus,ColorPlus Blue Cotton Tailored Fit Printed Shirt,₹1149.00,₹2299.00,0,0,https://www.tatacliq.com/colorplus-blue-cotton-tailored-fit-printed-shirt/p-mp000000016430354
American Eagle Outfitters,American Eagle Outfitters Brown Cotton Regular Fit Checks Shirt,₹1649.00,₹3299.00,0,0,https://www.tatacliq.com/american-eagle-outfitters-brown-cotton-regular-fit-checks-shirt/p-mp000000016285786
Arrow Sport,Arrow Sport Brown Cotton Slim Fit Checks Shirt,₹1483.00,₹2699.00,0,0,https://www.tatacliq.com/arrow-sport-brown-cotton-slim-fit-checks-shirt/p-mp000000016817307
American Eagle Outfitters,American Eagle Outfitters Grey Cotton Regular Fit Checks Shirt,₹1979.00,₹3299.00,0,0,https://www.tatacliq.com/american-eagle-outfitters-grey-cotton-regular-fit-checks-shirt/p-mp000000016096352
Jack & Jones,Jack & Jones Navy Cotton Regular Fit Striped Shirt,₹1439.00,₹3599.00,0,0,https://www.tatacliq.com/jack-jones-navy-cotton-regular-fit-striped-shirt/p-mp000000016488747
Jack & Jones,Jack & Jones Navy Cotton Regular Fit Printed Shirt,₹1199.00,₹2999.00,0,0,https://www.tatacliq.com/jack-jones-navy-cotton-regular-fit-printed-shirt/p-mp000000016488819
CAVALLO by Linen Club,CAVALLO by Linen Club Navy Regular Fit Printed Cotton Linen Shirt,₹989.00,₹1799.00,4.0,1,https://www.tatacliq.com/cavallo-by-linen-club-navy-regular-fit-printed-cotton-linen-shirt/p-mp000000016761791
ColorPlus,ColorPlus Orange Tailored Fit Checks Shirt,₹1249.00,₹2499.00,0,0,https://www.tatacliq.com/colorplus-orange-tailored-fit-checks-shirt/p-mp000000016430197
Dillinger,Dillinger Red Cotton Regular Fit Shirt,₹759.00,₹1999.00,4.67,3,https://www.tatacliq.com/dillinger-red-cotton-regular-fit-shirt/p-mp000000014713881
Arrow Sport,Arrow Sport White & Cherry Cotton Slim Fit Checks Shirt,₹1483.00,₹2699.00,0,0,https://www.tatacliq.com/arrow-sport-white-cherry-cotton-slim-fit-checks-shirt/p-mp000000016816972
Louis Philippe,Louis Philippe Sport White Slim Fit Checks Shirt,₹3203.00,₹3599.00,0,0,https://www.tatacliq.com/louis-philippe-sport-white-slim-fit-checks-shirt/p-mp000000016096882
Louis Philippe,Louis Philippe Sport White Cotton Slim Fit Striped Shirt,₹3114.00,₹3499.00,0,0,https://www.tatacliq.com/louis-philippe-sport-white-cotton-slim-fit-striped-shirt/p-mp000000016096912
CAVALLO by Linen Club,CAVALLO by Linen Club White Regular Fit Printed Cotton Linen Shirt,₹989.00,₹1799.00,0,0,https://www.tatacliq.com/cavallo-by-linen-club-white-regular-fit-printed-cotton-linen-shirt/p-mp000000016761860
Spykar,Spykar Black Slim Fit Check Shirt,₹1199.00,₹2399.00,0,0,https://www.tatacliq.com/spykar-black-slim-fit-check-shirt/p-mp000000015283384
Pepe Jeans,Pepe Jeans Black Regular Fit Checks Shirts,₹1499.00,₹2999.00,4.0,2,https://www.tatacliq.com/pepe-jeans-black-regular-fit-checks-shirts/p-mp000000015284527
Jainish,Jainish Blue Regular Fit Printed Shirt,₹570.00,₹1499.00,2.0,3,https://www.tatacliq.com/jainish-blue-regular-fit-printed-shirt/p-mp000000015646806
Basics,Basics Blue Cotton Slim Fit Printed Shirt,₹1679.20,₹2099.00,0,0,https://www.tatacliq.com/basics-blue-cotton-slim-fit-printed-shirt/p-mp000000015780218
