Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL 
Yufta,Yufta Sea Green Embroidered Kurta With Pant & Dupatta,₹2999.00,₹5999.00,0,0,https://www.tatacliq.com/yufta-sea-green-embroidered-kurta-with-pant-dupatta/p-mp000000020056430
Aurelia,Aurelia Blue Embroidered Kurta Pant Set,₹3599.00,₹3599.00,0,0,https://www.tatacliq.com/aurelia-blue-embroidered-kurta-pant-set/p-mp000000020051644
Aurelia,Aurelia Rose Pink Cotton Printed Kurta & Legging Set With Gilet,₹3599.00,₹3599.00,0,0,https://www.tatacliq.com/aurelia-rose-pink-cotton-printed-kurta-legging-set-with-gilet/p-mp000000020051363
Aurelia,Aurelia Yellow Cotton Printed Kurta With Palazzo & Dupatta,₹3699.00,₹3699.00,0,0,https://www.tatacliq.com/aurelia-yellow-cotton-printed-kurta-with-palazzo-dupatta/p-mp000000020051419
Aurelia,Aurelia Peach Printed Kurta & Palazzo Set,₹2299.00,₹2299.00,0,0,https://www.tatacliq.com/aurelia-peach-printed-kurta-palazzo-set/p-mp000000020051446
Rangmanch by Pantaloons,Rangmanch by Pantaloons Rust Embroidered Kurta Palazzo Set With Dupatta,₹2999.00,₹2999.00,0,0,https://www.tatacliq.com/rangmanch-by-pantaloons-rust-embroidered-kurta-palazzo-set-with-dupatta/p-mp000000019379722
Juniper,Juniper Purple Printed Kurta Pant Set With Dupatta,₹2659.00,₹3799.00,1.0,2,https://www.tatacliq.com/juniper-purple-printed-kurta-pant-set-with-dupatta/p-mp000000019145438
Anubhutee,Anubhutee Wine Printed Kurta Pant Set,₹1299.00,₹3599.00,0,0,https://www.tatacliq.com/anubhutee-wine-printed-kurta-pant-set/p-mp000000018304565
Janasya,Janasya Lime Green Cotton Floral Print Kurta With Sharara & Dupatta,₹2149.00,₹5399.00,0,0,https://www.tatacliq.com/janasya-lime-green-cotton-floral-print-kurta-with-sharara-dupatta/p-mp000000018849642
Indi Inside,Indi Inside Green Embellished Kurta Pant Set With Dupatta,₹2519.00,₹3999.00,0,0,https://www.tatacliq.com/indi-inside-green-embellished-kurta-pant-set-with-dupatta/p-mp000000018730297
Rangriti,Rangriti Blue Printed Kurta Sharara Set With Dupatta,₹1949.00,₹2999.00,0,0,https://www.tatacliq.com/rangriti-blue-printed-kurta-sharara-set-with-dupatta/p-mp000000014804081
Indi Inside,Indi Inside Blue Printed Kurta Pant Set With Dupatta,₹1880.00,₹3999.00,1.5,2,https://www.tatacliq.com/indi-inside-blue-printed-kurta-pant-set-with-dupatta/p-mp000000018730312
Janasya,Janasya Maroon Georgette Printed Kurta With Palazzo & Dupatta,₹2589.00,₹5999.00,5.0,1,https://www.tatacliq.com/janasya-maroon-georgette-printed-kurta-with-palazzo-dupatta/p-mp000000019467552
Janasya,Janasya Teal Cotton Floral Print Kurta With Palazzo & Dupatta,₹2799.00,₹5999.00,0,0,https://www.tatacliq.com/janasya-teal-cotton-floral-print-kurta-with-palazzo-dupatta/p-mp000000018849666
Indo Era,Indo Era Orange Regular Fit Kurta Palazzo Set With Dupatta,₹1429.00,₹4999.00,5.0,1,https://www.tatacliq.com/indo-era-orange-regular-fit-kurta-palazzo-set-with-dupatta/p-mp000000018667564
Global Desi,Global Desi Rose Pink Printed Kurta & Palazzo Set,₹2990.00,₹2990.00,0,0,https://www.tatacliq.com/global-desi-rose-pink-printed-kurta-palazzo-set/p-mp000000018722895
Rangmanch by Pantaloons,Rangmanch by Pantaloons Grey Embroidered Kurta Palazzo Set With Dupatta,₹2599.00,₹2599.00,1.0,1,https://www.tatacliq.com/rangmanch-by-pantaloons-grey-embroidered-kurta-palazzo-set-with-dupatta/p-mp000000019379787
Indi Inside,Indi Inside Black Kurta Pant Set With Dupatta,₹1871.00,₹3599.00,2.0,2,https://www.tatacliq.com/indi-inside-black-kurta-pant-set-with-dupatta/p-mp000000018730143
Rangmanch by Pantaloons,Rangmanch by Pantaloons Indigo Blue Embroidered Kurta Palazzo Set With Dupatta,₹3299.00,₹3299.00,0,0,https://www.tatacliq.com/rangmanch-by-pantaloons-indigo-blue-embroidered-kurta-palazzo-set-with-dupatta/p-mp000000018518779
Marigold Lane,Marigold Lane Navy Printed Kurta Palazzo Set,₹3499.00,₹3499.00,5.0,1,https://www.tatacliq.com/marigold-lane-navy-printed-kurta-palazzo-set/p-mp000000018868256
W,Wishful by W Pink & Purple Woven Pattern Kurta Pant Set With Jacket,₹2799.00,₹7999.00,0,0,https://www.tatacliq.com/wishful-by-w-pink-purple-woven-pattern-kurta-pant-set-with-jacket/p-mp000000018282626
Anubhutee,Anubhutee Blue Cotton Floral Print Kurta Pant Set,₹699.00,₹3199.00,5.0,1,https://www.tatacliq.com/anubhutee-blue-cotton-floral-print-kurta-pant-set/p-mp000000019609118
Juniper,Juniper Black Printed Kurta Palazzo Set,₹2474.00,₹4499.00,0,0,https://www.tatacliq.com/juniper-black-printed-kurta-palazzo-set/p-mp000000018636481
Rangmanch by Pantaloons,Rangmanch by Pantaloons Fuchsia Printed Kurta Palazzo Set With Dupatta,₹3299.00,₹3299.00,0,0,https://www.tatacliq.com/rangmanch-by-pantaloons-fuchsia-printed-kurta-palazzo-set-with-dupatta/p-mp000000019177685
Janasya,Janasya Peach Printed Kurti Sharara Set With Dupatta,₹2099.00,₹4499.00,3.5,2,https://www.tatacliq.com/janasya-peach-printed-kurti-sharara-set-with-dupatta/p-mp000000018177289
Anubhutee,Anubhutee Teal Blue Embroidered Kurta Pant Set With Dupatta,₹1949.00,₹5199.00,0,0,https://www.tatacliq.com/anubhutee-teal-blue-embroidered-kurta-pant-set-with-dupatta/p-mp000000016655239
Rain and Rainbow,Rain and Rainbow Blue Cotton Floral Print Kurta Pant Set With Dupatta,₹3875.00,₹7750.00,0,0,https://www.tatacliq.com/rain-and-rainbow-blue-cotton-floral-print-kurta-pant-set-with-dupatta/p-mp000000019567054
